user_id,apk,start_time,fg_time_ms,last_used
16184,com.samsung.android.lool,2020-06-09T12:33:27Z,86399999,2020-06-10T12:33:27Z
16184,com.samsung.android.lool,2020-06-09T12:33:29Z,86399999,2020-06-10T12:33:29Z
16184,com.samsung.android.lool,2020-06-10T12:33:38Z,86399999,2020-06-11T12:33:38Z
16184,com.samsung.android.lool,2020-06-11T12:33:42Z,86399999,2020-06-12T12:33:42Z
16184,com.samsung.android.lool,2020-06-11T12:33:40Z,86399999,2020-06-12T12:33:40Z
16184,com.samsung.android.lool,2020-06-12T12:36:05Z,37746869,2020-06-12T23:05:12Z
16184,com.samsung.android.lool,2020-06-12T12:36:07Z,37746869,2020-06-12T23:05:14Z
16185,com.android.systemui,2020-06-01T17:11:37Z,29609829,2020-06-02T17:11:37Z
16185,com.android.systemui,2020-06-02T17:11:41Z,86399999,2020-06-03T17:11:41Z
16185,com.android.systemui,2020-06-03T17:13:21Z,31116238,2020-06-04T17:13:21Z
16213,com.android.systemui,2020-05-30T13:39:15Z,52953775,2020-05-31T13:39:15Z
16213,com.android.systemui,2020-05-31T13:42:31Z,86399999,2020-06-01T13:42:31Z
16213,com.android.systemui,2020-05-31T13:42:23Z,86399999,2020-06-01T13:42:23Z
16213,com.android.systemui,2020-06-01T13:43:39Z,28553209,2020-06-01T21:40:33Z
16213,com.android.systemui,2020-06-01T13:43:39Z,28553209,2020-06-01T21:51:15Z
16213,com.android.systemui,2020-06-01T13:43:39Z,28555504,2020-06-01T21:51:18Z
16213,com.android.systemui,2020-06-01T13:43:39Z,28556347,2020-06-01T22:27:13Z
16213,com.android.systemui,2020-06-01T13:43:39Z,83541893,2020-06-02T13:43:39Z
16213,com.android.systemui,2020-06-10T14:24:09Z,86399999,2020-06-11T14:24:09Z
16213,com.android.systemui,2020-06-10T14:23:55Z,86399999,2020-06-11T14:23:55Z
16213,com.android.systemui,2020-06-13T14:32:16Z,18841961,2020-06-13T19:46:18Z
16213,com.android.systemui,2020-06-13T14:32:16Z,18842829,2020-06-14T13:53:35Z
16213,com.android.systemui,2020-06-16T14:46:14Z,18920937,2020-06-16T20:01:35Z
16213,com.android.systemui,2020-06-19T15:01:23Z,86399999,2020-06-20T15:01:23Z
16213,com.android.systemui,2020-06-21T15:05:00Z,86399999,2020-06-22T15:05:00Z
16372,com.kiloo.subwaysurf,2020-06-01T15:23:24Z,85349579,2020-06-02T15:23:24Z
